,goout,Walc,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,romantic_no,romantic_yes,sex_F,sex_M
0,4,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,3,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2,2,3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,2,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
4,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,2,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
6,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
7,4,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
9,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
10,3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
11,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
12,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
13,3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
14,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
15,4,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
16,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
18,5,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
19,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
20,1,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
21,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
22,1,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
23,4,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
24,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
25,2,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
26,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
27,4,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
28,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
29,5,5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
30,2,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
31,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
32,2,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
33,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
34,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
36,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
37,3,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
38,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39,1,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
40,3,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
41,3,4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
42,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
43,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
44,3,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
45,2,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
46,5,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
47,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
48,3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
49,4,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
50,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51,3,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
52,5,4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
53,4,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
54,4,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
55,4,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
56,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57,2,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
58,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
59,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
60,4,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
61,5,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
62,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
63,4,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
64,4,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
65,3,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
66,3,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
67,3,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
68,3,3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
69,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
70,2,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
71,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
72,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
73,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
74,3,4,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
75,3,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
76,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
77,3,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
78,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
79,3,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
80,2,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
81,2,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
82,4,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
83,3,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
84,2,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
85,4,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
86,4,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
87,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
88,2,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
89,3,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
90,3,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
91,5,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
92,3,3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
93,3,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
94,4,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
95,2,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
96,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
97,5,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
98,4,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
99,5,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
101,3,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
102,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
103,5,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
104,4,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
105,3,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
